old,new
Andaman & Nicobar Islands/Nicobars,Andaman and Nicobar Islands/Nicobars
Andaman & Nicobar Islands/North  & Middle Andaman,Andaman and Nicobar Islands/North and Middle Andaman
Andaman & Nicobar Islands/South Andaman,Andaman and Nicobar Islands/South Andaman
Andhra Pradesh/Adilabad,Telangana/Adilabad
Andhra Pradesh/Anantapur,Andhra Pradesh/Anantapur
Andhra Pradesh/Chittoor,Andhra Pradesh/Chittoor
Andhra Pradesh/East Godavari,Andhra Pradesh/East Godavari
Andhra Pradesh/Guntur,Andhra Pradesh/Guntur
Andhra Pradesh/Hyderabad,Telangana/Hyderabad
Andhra Pradesh/Karimnagar,Telangana/Karimnagar
Andhra Pradesh/Khammam,Telangana/Khammam
Andhra Pradesh/Krishna,Andhra Pradesh/Krishna
Andhra Pradesh/Kurnool,Andhra Pradesh/Kurnool
Andhra Pradesh/Mahbubnagar,Telangana/Mahabubnagar
Andhra Pradesh/Medak,Telangana/Medak
Andhra Pradesh/Nalgonda,Telangana/Nalgonda
Andhra Pradesh/Nizamabad,Telangana/Nizamabad
Andhra Pradesh/Prakasam,Andhra Pradesh/Prakasam
Andhra Pradesh/Rangareddy,Telangana/Ranga Reddy
Andhra Pradesh/Sri Potti Sriramulu Nellore,Andhra Pradesh/S.P.S. Nellore
Andhra Pradesh/Srikakulam,Andhra Pradesh/Srikakulam
Andhra Pradesh/Visakhapatnam,Andhra Pradesh/Visakhapatnam
Andhra Pradesh/Vizianagaram,Andhra Pradesh/Vizianagaram
Andhra Pradesh/Warangal,Telangana/Warangal Urban
Andhra Pradesh/West Godavari,Andhra Pradesh/West Godavari
Andhra Pradesh/Y.S.R.,Andhra Pradesh/Y.S.R. Kadapa
Arunachal Pradesh/Anjaw,Arunachal Pradesh/Anjaw
Arunachal Pradesh/Changlang,Arunachal Pradesh/Changlang
Arunachal Pradesh/Dibang Valley,Arunachal Pradesh/Upper Dibang Valley
Arunachal Pradesh/East Kameng,Arunachal Pradesh/East Kameng
Arunachal Pradesh/East Siang,Arunachal Pradesh/East Siang
Arunachal Pradesh/Kurung Kumey,Arunachal Pradesh/Kurung Kumey
Arunachal Pradesh/Lohit,Arunachal Pradesh/Lohit
Arunachal Pradesh/Lower Dibang Valley,Arunachal Pradesh/Lower Dibang Valley
Arunachal Pradesh/Lower Subansiri,Arunachal Pradesh/Lower Subansiri
Arunachal Pradesh/Papum Pare,Arunachal Pradesh/Papum Pare
Arunachal Pradesh/Tawang,Arunachal Pradesh/Tawang
Arunachal Pradesh/Tirap,Arunachal Pradesh/Tirap
Arunachal Pradesh/Upper Siang,Arunachal Pradesh/Upper Siang
Arunachal Pradesh/Upper Subansiri,Arunachal Pradesh/Upper Subansiri
Arunachal Pradesh/West Kameng,Arunachal Pradesh/West Kameng
Arunachal Pradesh/West Siang,Arunachal Pradesh/West Siang
Assam/Baksa,Assam/Baksa
Assam/Barpeta,Assam/Barpeta
Assam/Bongaigaon,Assam/Bongaigaon
Assam/Cachar,Assam/Cachar
Assam/Chirang,Assam/Chirang
Assam/Darrang,Assam/Darrang
Assam/Dhemaji,Assam/Dhemaji
Assam/Dhubri,Assam/Dhubri
Assam/Dibrugarh,Assam/Dibrugarh
Assam/Dima Hasao,Assam/Dima Hasao
Assam/Goalpara,Assam/Goalpara
Assam/Golaghat,Assam/Golaghat
Assam/Hailakandi,Assam/Hailakandi
Assam/Jorhat,Assam/Jorhat
Assam/Kamrup Metropolitan,Assam/Kamrup Metropolitan
Assam/Karbi Anglong,Assam/Karbi Anglong
Assam/Karimganj,Assam/Karimganj
Assam/Kokrajhar,Assam/Kokrajhar
Assam/Lakhimpur,Assam/Lakhimpur
Assam/Morigaon,Assam/Morigaon
Assam/Nagaon,Assam/Nagaon
Assam/Nalbari,Assam/Nalbari
Assam/Sivasagar,Assam/Sivasagar
Assam/Sonitpur,Assam/Sonitpur
Assam/Tinsukia,Assam/Tinsukia
Assam/Udalguri,Assam/Udalguri
Bihar/Araria,Bihar/Araria
Bihar/Arwal,Bihar/Arwal
Bihar/Aurangabad,Bihar/Aurangabad
Bihar/Banka,Bihar/Banka
Bihar/Begusarai,Bihar/Begusarai
Bihar/Bhagalpur,Bihar/Bhagalpur
Bihar/Bhojpur,Bihar/Bhojpur
Bihar/Buxar,Bihar/Buxar
Bihar/Darbhanga,Bihar/Darbhanga
Bihar/Gaya,Bihar/Gaya
Bihar/Gopalganj,Bihar/Gopalganj
Bihar/Jamui,Bihar/Jamui
Bihar/Jehanabad ,Bihar/Jehanabad
Bihar/Kaimur (Bhabua),Bihar/Kaimur
Bihar/Katihar,Bihar/Katihar
Bihar/Khagaria,Bihar/Khagaria
Bihar/Kishanganj,Bihar/Kishanganj
Bihar/Lakhisarai,Bihar/Lakhisarai
Bihar/Madhepura,Bihar/Madhepura
Bihar/Madhubani,Bihar/Madhubani
Bihar/Munger,Bihar/Munger
Bihar/Muzaffarpur,Bihar/Muzaffarpur
Bihar/Nalanda,Bihar/Nalanda
Bihar/Nawada,Bihar/Nawada
Bihar/Pashchim Champaran,Bihar/West Champaran
Bihar/Patna,Bihar/Patna
Bihar/Purba Champaran,Bihar/East Champaran
Bihar/Purnia,Bihar/Purnia
Bihar/Rohtas,Bihar/Rohtas
Bihar/Saharsa,Bihar/Saharsa
Bihar/Samastipur,Bihar/Samastipur
Bihar/Saran,Bihar/Saran
Bihar/Sheikhpura,Bihar/Sheikhpura
Bihar/Sheohar,Bihar/Sheohar
Bihar/Sitamarhi,Bihar/Sitamarhi
Bihar/Siwan,Bihar/Siwan
Bihar/Supaul,Bihar/Supaul
Bihar/Vaishali,Bihar/Vaishali
Chandigarh/Chandigarh,Chandigarh/Chandigarh
Chhattisgarh/Bastar,Chhattisgarh/Bastar
Chhattisgarh/Bijapur,Chhattisgarh/Bijapur
Chhattisgarh/Bilaspur,Chhattisgarh/Bilaspur
Chhattisgarh/Dakshin Bastar Dantewada,Chhattisgarh/Dakshin Bastar Dantewada
Chhattisgarh/Dhamtari ,Chhattisgarh/Dhamtari
Chhattisgarh/Durg,Chhattisgarh/Durg
Chhattisgarh/Janjgir - Champa,Chhattisgarh/Janjgir Champa
Chhattisgarh/Jashpur ,Chhattisgarh/Jashpur
Chhattisgarh/Kabeerdham,Chhattisgarh/Kabeerdham
Chhattisgarh/Korba ,Chhattisgarh/Korba
Chhattisgarh/Koriya,Chhattisgarh/Koriya
Chhattisgarh/Mahasamund,Chhattisgarh/Mahasamund
Chhattisgarh/Narayanpur,Chhattisgarh/Narayanpur
Chhattisgarh/Raigarh,Chhattisgarh/Raigarh
