districtid,wave1-weekid,wave2-weekid,wave1-monthid,wave2-monthid
AN,40,NaN,5,NaN
AP_Anantapur,39,118,5,14
AP_Chittoor,39,117,5,14
AP_East Godavari,38,120,5,14
AP_East Godavari,NaN,NaN,NaN,NaN
AP_Guntur,39,118,5,14
AP_Krishna,40,116,5,14
AP_Kurnool,38,118,5,NaN
AP_Kurnool,NaN,NaN,NaN,NaN
AP_Prakasam,49,122,6,14
AP_S.P.S. Nellore,39,117,5,14
AP_Srikakulam,40,116,5,14
AP_Visakhapatnam,38,119,5,14
AP_Vizianagaram,41,NaN,5,NaN
AP_West Godavari,37,121,5,14
AP_Y.S.R. Kadapa,39,121,5,14
AR_Anjaw,43,127,5,15
AR_Anjaw,NaN,NaN,NaN,NaN
AR_Changlang,40,124,7,15
AR_East Kameng,42,128,5,15
AR_East Siang,47,NaN,6,NaN
AR_Kamle,57,123,7,NaN
AR_Kra Daadi,56,129,7,15
AR_Kurung Kumey,56,130,6,15
AR_Lepa Rada,49,NaN,7,NaN
AR_Lohit,61,NaN,5,NaN
AR_Longding,50,NaN,6,NaN
AR_Lower Dibang Valley,50,116,6,14
AR_Lower Siang,57,NaN,5,14
AR_Lower Subansiri,52,122,6,14
AR_Namsai,40,125,5,14
AR_Pakke Kessang,47,NaN,7,NaN
AR_Papum Pare,54,NaN,7,NaN
AR_Shi Yomi,67,NaN,8,NaN
AR_Siang,48,NaN,7,NaN
AR_Tawang,49,124,6,14
AR_Tirap,48,NaN,7,NaN
AR_Upper Dibang Valley,59,122,7,14
AR_Upper Siang,63,124,6,15
AR_Upper Subansiri,45,NaN,7,NaN
AR_West Kameng,43,NaN,5,NaN
AR_West Siang,49,NaN,6,NaN
AS_Dibrugarh,NaN,NaN,NaN,NaN
AS_Udalguri,NaN,NaN,NaN,NaN
BR_Araria,43,118,5,14
BR_Arwal,42,116,5,14
BR_Aurangabad,39,115,5,14
BR_Banka,41,117,5,14
BR_Begusarai,42,116,5,14
BR_Bhagalpur,34,113,5,13
BR_Bhojpur,41,115,5,NaN
BR_Buxar,42,115,5,NaN
BR_Darbhanga,43,116,5,14
BR_East Champaran,42,116,5,14
BR_Gaya,36,114,5,14
BR_Gopalganj,42,116,5,14
BR_Jamui,34,116,5,14
BR_Jehanabad,43,114,5,13
BR_Kaimur,39,116,5,14
BR_Katihar,41,119,5,14
BR_Khagaria,40,116,5,14
BR_Kishanganj,39,118,5,14
BR_Lakhisarai,35,115,5,14
BR_Madhepura,43,118,5,14
BR_Madhubani,43,118,5,14
BR_Munger,42,115,5,14
BR_Muzaffarpur,39,114,5,14
BR_Nalanda,35,117,5,14
BR_Nawada,34,115,4,14
BR_Nawada,NaN,NaN,NaN,NaN
BR_Patna,38,113,5,14
BR_Purnia,41,115,5,14
BR_Rohtas,37,116,5,14
BR_Saharsa,43,115,5,14
BR_Samastipur,41,117,5,14
BR_Saran,38,115,5,14
BR_Sheikhpura,41,118,5,14
BR_Sheohar,43,118,5,14
BR_Sitamarhi,40,117,5,14
BR_Siwan,35,115,5,14
BR_Supaul,41,117,5,14
BR_Vaishali,41,118,5,14
BR_West Champaran,35,117,5,14
CH_Chandigarh,48,116,6,14
CT_Balod,54,112,6,13
CT_Baloda Bazar,52,112,6,13
CT_Balrampur,62,120,6,14
CT_Bametara,67,111,8,13
CT_Bastar,55,116,6,14
CT_Bijapur,46,127,6,15
CT_Bilaspur,50,113,6,13
CT_Dakshin Bastar Dantewada,54,NaN,6,14
CT_Dhamtari,53,112,6,13
CT_Durg,49,110,6,13
CT_Gariaband,53,113,6,13
CT_Gaurela Pendra Marwahi,52,119,9,14
CT_Janjgir Champa,53,113,6,14
CT_Jashpur,63,112,6,14
CT_Kabeerdham,52,112,6,13
CT_Kondagaon,60,118,7,14
CT_Korba,60,113,7,14
CT_Koriya,52,119,6,14
CT_Mahasamund,51,111,6,13
CT_Mungeli,52,113,6,14
CT_Narayanpur,53,NaN,4,14
