districtid,monthid,dose1,dose2
AN_Nicobars,1,0,0
AN_Nicobars,2,360,0
AN_Nicobars,3,387,304
AN_Nicobars,4,5522,236
AN_Nicobars,5,2090,1365
AN_Nicobars,6,696,2
AN_Nicobars,7,9560,4962
AN_Nicobars,8,3481,1269
AN_North and Middle Andaman,1,0,0
AN_North and Middle Andaman,2,1114,0
AN_North and Middle Andaman,3,1020,944
AN_North and Middle Andaman,4,17819,660
AN_North and Middle Andaman,5,10097,1664
AN_North and Middle Andaman,6,4220,24
AN_North and Middle Andaman,7,17211,21829
AN_North and Middle Andaman,8,17118,4247
AN_South Andaman,1,23,0
AN_South Andaman,2,1866,104
AN_South Andaman,3,6975,1492
AN_South Andaman,4,26253,2583
AN_South Andaman,5,26532,5778
AN_South Andaman,6,13537,264
AN_South Andaman,7,34597,32724
AN_South Andaman,8,34097,17356
AP_Anantapur,1,287,0
AP_Anantapur,2,17062,2210
AP_Anantapur,3,40107,11627
AP_Anantapur,4,242760,19514
AP_Anantapur,5,145138,138742
AP_Anantapur,6,259562,31186
AP_Anantapur,7,332364,127278
AP_Anantapur,8,381008,287385
AP_Chittoor,1,424,0
AP_Chittoor,2,31542,1406
AP_Chittoor,3,57235,21421
AP_Chittoor,4,295939,29482
AP_Chittoor,5,140617,139320
AP_Chittoor,6,299662,46037
AP_Chittoor,7,344889,91024
AP_Chittoor,8,412832,322212
AP_East Godavari,1,1012,0
AP_East Godavari,2,41195,1461
AP_East Godavari,3,65770,25409
AP_East Godavari,4,277388,40371
AP_East Godavari,5,113682,138184
AP_East Godavari,6,461574,49718
AP_East Godavari,7,483399,128566
AP_East Godavari,8,486969,174094
AP_Guntur,1,303,0
AP_Guntur,2,25620,3327
AP_Guntur,3,54865,16462
AP_Guntur,4,259959,35042
AP_Guntur,5,158602,117649
AP_Guntur,6,381743,60232
AP_Guntur,7,472904,122809
AP_Guntur,8,431088,249454
AP_Krishna,1,144,0
AP_Krishna,2,26275,1445
AP_Krishna,3,52543,20545
AP_Krishna,4,284173,24986
AP_Krishna,5,135131,165430
