districtid,weekid,dose1,dose2
AN_Nicobars,1,0,0
AN_Nicobars,2,227,0
AN_Nicobars,3,57,0
AN_Nicobars,4,59,0
AN_Nicobars,5,17,0
AN_Nicobars,6,36,40
AN_Nicobars,7,171,204
AN_Nicobars,8,81,6
AN_Nicobars,9,99,54
AN_Nicobars,10,399,7
AN_Nicobars,11,622,85
AN_Nicobars,12,463,14
AN_Nicobars,13,2109,86
AN_Nicobars,14,2355,64
AN_Nicobars,15,1155,111
AN_Nicobars,16,307,222
AN_Nicobars,17,163,751
AN_Nicobars,18,39,261
AN_Nicobars,19,119,0
AN_Nicobars,20,161,0
AN_Nicobars,21,10,1
AN_Nicobars,22,70,0
AN_Nicobars,23,1193,1
AN_Nicobars,24,3719,51
AN_Nicobars,25,2059,1509
AN_Nicobars,26,433,2375
AN_Nicobars,27,2744,1131
AN_Nicobars,28,1618,664
AN_Nicobars,29,1195,275
AN_Nicobars,30,238,85
AN_Nicobars,31,163,113
AN_North and Middle Andaman,1,0,0
AN_North and Middle Andaman,2,392,0
AN_North and Middle Andaman,3,601,0
AN_North and Middle Andaman,4,119,0
AN_North and Middle Andaman,5,1,0
AN_North and Middle Andaman,6,43,367
AN_North and Middle Andaman,7,280,483
AN_North and Middle Andaman,8,391,42
AN_North and Middle Andaman,9,190,50
AN_North and Middle Andaman,10,499,33
AN_North and Middle Andaman,11,330,125
AN_North and Middle Andaman,12,1037,72
AN_North and Middle Andaman,13,3780,177
AN_North and Middle Andaman,14,16396,304
AN_North and Middle Andaman,15,4344,332
AN_North and Middle Andaman,16,1111,362
AN_North and Middle Andaman,17,276,510
AN_North and Middle Andaman,18,260,411
AN_North and Middle Andaman,19,935,12
AN_North and Middle Andaman,20,1284,2
AN_North and Middle Andaman,21,162,7
AN_North and Middle Andaman,22,902,2
AN_North and Middle Andaman,23,1328,1
AN_North and Middle Andaman,24,6692,153
AN_North and Middle Andaman,25,3891,3005
AN_North and Middle Andaman,26,1446,13038
AN_North and Middle Andaman,27,4918,6162
AN_North and Middle Andaman,28,5527,1762
AN_North and Middle Andaman,29,6105,810
AN_North and Middle Andaman,30,152,360
AN_North and Middle Andaman,31,4651,703
AN_South Andaman,1,23,0
AN_South Andaman,2,324,0
AN_South Andaman,3,441,0
AN_South Andaman,4,537,0
AN_South Andaman,5,242,0
AN_South Andaman,6,1588,539
