stateid,monthid,dose1,dose2
AN,1,23,0
AN,2,3340,104
AN,3,8382,2740
AN,4,49594,3479
AN,5,38719,8807
AN,6,18453,290
AN,7,61368,59515
AN,8,54696,22872
AP,1,4216,0
AP,2,339930,26734
AP,3,574184,220332
AP,4,3089139,349187
AP,5,1480288,1580346
AP,6,4308105,467438
AP,7,4599408,1352478
AP,8,4371288,2584423
AR,1,81,0
AR,2,15465,1584
AR,3,33292,11779
AR,4,81974,22457
AR,5,88359,42064
AR,6,140291,1458
AR,7,263574,53936
AR,8,79947,69334
AS,1,401,0
AS,2,127376,5169
AS,3,360785,82964
AS,4,794423,193336
AS,5,1387119,449923
AS,6,1348433,248788
AS,7,3126540,517772
AS,8,4701523,1022346
BR,1,2967,0
BR,2,469248,13518
BR,3,671960,298987
BR,4,3630741,338866
BR,5,2529078,1039631
BR,6,3459136,262679
BR,7,6324959,1050384
BR,8,8563338,1960026
CH,1,120,0
CH,2,7716,182
CH,3,32534,6242
CH,4,74430,17922
CH,5,97460,49340
CH,6,136944,2605
CH,7,182536,56315
CH,8,214849,119446
CT,1,1040,0
CT,2,286380,6821
CT,3,484542,202112
CT,4,3508097,260622
CT,5,782092,611079
CT,6,117351,90712
CT,7,2598537,742012
CT,8,1677516,918083
DL,1,892,0
DL,2,206555,6826
DL,3,306320,124488
DL,4,1551928,307062
DL,5,1479155,619994
DL,6,1211398,449103
DL,7,2329821,680772
DL,8,1277121,1124789
DN,1,23,0
DN,2,4567,164
DN,3,10451,3363
DN,4,55587,7321
DN,5,24131,15039
DN,6,163495,721
DN,7,247496,38817
DN,8,94433,28206
GA,1,50,0
GA,2,14073,340
GA,3,46687,11950
GA,4,121764,30102
GA,5,162041,51874
GA,6,248104,4984
GA,7,373163,101577
GA,8,152854,137082
GJ,1,1249,0
GJ,2,783361,14686
GJ,3,1312611,526004
GJ,4,6717043,810346
GJ,5,2428837,2491625
GJ,6,5197685,828563
GJ,7,5901215,2023820
GJ,8,8517694,3204414
HP,1,202,0
HP,2,81709,2807
HP,3,94708,63623
HP,4,936117,62425
HP,5,675206,303972
HP,6,474953,3801
HP,7,1235953,565302
HP,8,1522746,529240
HR,1,1864,0
HR,2,184209,3658
HR,3,302151,108406
HR,4,2169431,187392
HR,5,1361502,618734
HR,6,1900057,182752
HR,7,2537570,854766
HR,8,2192283,1314231
JH,1,344,0
JH,2,222639,5575
JH,3,271811,154950
JH,4,1856723,169707
JH,5,567573,335852
JH,6,1587372,179153
JH,7,2219996,614652
JH,8,2196714,714375
JK,1,447,0
JK,2,147557,2267
JK,3,243549,68848
JK,4,930474,151274
JK,5,999663,310775
JK,6,907925,56165
JK,7,1259722,358647
JK,8,1111649,646519
KA,1,3810,0
KA,2,469282,28526
KA,3,700002,311891
KA,4,5053440,343260
KA,5,2716426,1822209
KA,6,5651101,595484
KA,7,7147765,2007938
KA,8,5345283,2891572
KL,1,1681,0
KL,2,368800,12148
KL,3,745809,284744
KL,4,3924517,342415
KL,5,1413330,1358036
KL,6,2931929,363527
KL,7,2532538,2206516
KL,8,5966310,2168372
LA,1,9,0
LA,2,3424,169
LA,3,30253,2763
LA,4,33319,7031
LA,5,19640,27289
LA,6,70436,168
LA,7,27676,24599
LA,8,5010,11487
LD,1,16,0
LD,2,1578,19
LD,3,1576,985
LD,4,10359,1913
LD,5,7943,3893
