stateid,weekid,dose1,dose2
AN,1,23,0
AN,2,943,0
AN,3,1099,0
AN,4,715,0
AN,5,260,0
AN,6,1667,946
AN,7,1322,1014
AN,8,2819,293
AN,9,2601,515
AN,10,1813,854
AN,11,1944,1459
AN,12,3471,143
AN,13,13335,388
AN,14,39263,1266
AN,15,16590,2649
AN,16,6260,1633
AN,17,3623,2377
AN,18,2310,1593
AN,19,3930,26
AN,20,4571,10
AN,21,3420,57
AN,22,3732,129
AN,23,5491,154
AN,24,23817,800
AN,25,14323,8867
AN,26,7001,31543
AN,27,14462,20589
AN,28,12476,9253
AN,29,16456,5072
AN,30,5340,2642
AN,31,17852,3033
AP,1,4216,0
AP,2,64970,0
AP,3,59402,0
AP,4,115582,0
AP,5,64304,6234
AP,6,105125,84176
AP,7,117321,47402
AP,8,117191,45379
AP,9,196270,54178
AP,10,451915,63281
AP,11,669236,73892
AP,12,651140,51319
AP,13,741219,103672
AP,14,650214,70343
AP,15,534832,530794
AP,16,628421,389262
AP,17,266989,462378
AP,18,44375,194289
AP,19,77945,174046
AP,20,1722763,133814
AP,21,1005187,91860
AP,22,1042013,46647
AP,23,1865564,116365
AP,24,757403,170836
AP,25,1229726,361297
AP,26,341807,252677
AP,27,983541,611204
AP,28,399715,522120
AP,29,1387651,928673
AP,30,1230389,581407
AP,31,1024964,334782
AR,1,81,0
AR,2,2351,0
AR,3,3996,0
AR,4,2767,0
AR,5,3982,456
AR,6,6744,3764
AR,7,5885,2742
AR,8,11396,2699
AR,9,8870,2908
AR,10,10489,3951
AR,11,11255,3501
AR,12,11870,2804
AR,13,25192,7176
AR,14,30367,7271
AR,15,28193,9528
AR,16,26979,9266
AR,17,17900,14503
AR,18,10757,7315
AR,19,26807,188
AR,20,8817,200
AR,21,43353,341
AR,22,37458,429
AR,23,65078,594
AR,24,75182,2199
AR,25,62910,8413
AR,26,54554,22426
AR,27,36333,24694
AR,28,25444,22530
AR,29,17573,14908
AR,30,16586,8825
AR,31,12318,16337
AS,1,401,0
AS,2,3950,0
AS,3,26272,0
AS,4,49596,0
AS,5,41877,2016
AS,6,32867,8577
AS,7,40348,17165
AS,8,159196,25536
AS,9,116378,30636
AS,10,89619,25086
AS,11,330825,32423
AS,12,156217,36237
AS,13,196814,76592
AS,14,58567,40205
AS,15,302134,120922
AS,16,428048,141330
AS,17,333248,103882
AS,18,303682,70785
AS,19,302544,49593
AS,20,292784,47776
AS,21,223936,21599
AS,22,394359,77862
AS,23,410935,137501
AS,24,1373874,120538
AS,25,661442,113267
AS,26,333914,52509
AS,27,586440,180141
AS,28,758007,192811
AS,29,868805,224007
AS,30,1383291,212579
AS,31,1294319,306629
BR,1,2967,0
BR,2,35087,0
BR,3,70102,0
BR,4,226876,0
BR,5,117171,55
BR,6,66851,38467
BR,7,39534,39706
BR,8,85369,107577
BR,9,432213,107620
BR,10,398902,76075
BR,11,642892,39246
BR,12,789433,29963
BR,13,1280122,117794
BR,14,796148,145471
BR,15,550135,200618
BR,16,430872,242551
BR,17,446583,348565
BR,18,892004,197294
BR,19,642130,43193
BR,20,521737,45359
BR,21,715406,67213
BR,22,936150,65845
BR,23,1511409,136940
BR,24,1932057,132480
BR,25,1272401,238420
BR,26,1071931,264659
BR,27,1854288,468308
BR,28,1258713,347447
BR,29,1759777,418980
BR,30,2401829,526416
BR,31,2072003,431227
CH,1,120,0
CH,2,677,0
CH,3,1420,0
CH,4,1641,0
CH,5,2854,117
CH,6,3667,629
CH,7,6548,894
CH,8,10821,1514
CH,9,10661,2619
CH,10,9538,3071
CH,11,7309,2409
CH,12,21985,2349
CH,13,22243,5069
CH,14,20016,7429
CH,15,21295,11760
CH,16,24822,12417
CH,17,24587,14131
CH,18,22056,9278
CH,19,28544,938
CH,20,27805,233
CH,21,36224,253
CH,22,24731,645
CH,23,46790,1468
CH,24,45391,5158
CH,25,39695,14329
CH,26,33196,20387
CH,27,49541,23143
CH,28,37436,30773
CH,29,65246,26565
CH,30,43956,23080
CH,31,47785,26755
CT,1,1040,0
CT,2,11466,0
